,Name_FG,Tm,mean_batspeed,mean_swinglength,attack_angle,PA,AB,AVG,OBP,SLG,OPS,wOBA,wRC+,Name_SC,batter_cluster
456,Trent Grisham,NYY,69.22758620689655,7.556034482758621,21.445767121068663,209,179,0.189944134,0.289855072,0.38547486,0.675329932,0.2952605063475451,91.47663797147258,"Grisham, Trent",7
457,Robbie Grossman-L,KCR,67.48985507246377,6.372463768115942,12.479016477805988,119,101,0.178217821,0.294117647,0.207920792,0.502038439,0.2414729635254675,52.70222165712259,"Grossman, Robbie",7
458,Luis Guillorme,ARI,64.56694214876033,7.70495867768595,10.06123635414457,187,161,0.204968944,0.301075268,0.273291925,0.574367193,0.2634907326390666,66.81605489145376,"Guillorme, Luis",6
459,David Hamilton,BOS,68.46146341463415,7.080487804878048,14.492100167295272,317,294,0.248299319,0.302839116,0.394557823,0.697396939,0.3048386513622777,92.42484923903336,"Hamilton, David",6
460,Ian Happ-L,CHC,72.12836363636363,6.761818181818182,16.360465401900967,496,422,0.244075829,0.35282258,0.450236966,0.803059546,0.3497306237317095,127.60480119660458,"Happ, Ian",6
461,Bryce Harper,PHI,73.3412213740458,7.1547073791348605,15.117832307605545,631,550,0.285454545,0.373015873,0.525454545,0.898470418,0.380217063407713,144.98917770401317,"Harper, Bryce",5
462,Michael Harris II,ATL,74.92710280373831,7.961370716510903,11.33229020254934,470,440,0.263636363,0.304255319,0.418181818,0.722437137,0.3120455870242007,98.50172511333592,"Harris II, Michael",5
463,Jonah Heim-L,TEX,69.29126984126985,7.316666666666666,15.996313588785132,374,351,0.213675213,0.259358288,0.319088319,0.578446607,0.2557536953273304,63.71044235407075,"Heim, Jonah",5
464,Gunnar Henderson,BAL,76.34342105263157,7.214473684210526,12.288432031684389,719,630,0.28095238,0.364394993,0.528571428,0.892966421,0.3814647619438702,154.74504761804943,"Henderson, Gunnar",6
465,Jose Herrera-L,ARI,64.14565217391304,6.773913043478261,10.9391441969985,76,64,0.234375,0.309859154,0.34375,0.653609154,0.2911428767190853,83.99093256538917,"Herrera, Jose",7
466,Jason Heyward,HOU,73.57668711656441,8.012883435582822,11.587547329980758,258,228,0.210526315,0.287937743,0.412280701,0.700218444,0.3002106675914689,94.32505667309476,"Heyward, Jason",6
